,wlbEntryDate,wlbDiscovery
0,20.03.1989,1/2-1 BLANE
2,06.07.1968,1/3-1
4,22.08.1982,1/3-3 TAMBAR
5,15.02.1983,1/3-3 TAMBAR
7,11.03.1991,1/3-6 OSELVAR
13,28.05.2008,1/3-11 (Ipswich)
16,19.10.1973,1/5-2 FLYNDRE
17,10.06.1998,1/5-3 S
20,10.07.1972,1/6-1 ALBUSKJELL
27,14.10.1976,1/9-1 TOMMELITEN ALPHA
28,08.05.1987,1/9-1 TOMMELITEN ALPHA
32,13.08.1977,1/9-4 TOMMELITEN GAMMA
33,21.04.1991,1/9-4 TOMMELITEN GAMMA
37,22.03.2003,1/9-1 TOMMELITEN ALPHA
40,03.11.1979,2/1-3 GYDA
46,15.04.1991,2/1-9 GYDA SØR
49,14.01.1997,2/1-11
55,09.04.1982,2/2-1 (Møyfrid)
56,04.07.1982,2/2-2 (Desmond)
59,07.11.1991,2/2-5 (Bumblebee)
61,10.02.1969,2/3-1 (Løven)
66,18.09.1969,2/4-2 EKOFISK
70,28.08.1970,2/4-6 VEST EKOFISK
74,13.10.1973,2/4-10
75,25.12.1973,2/4-11 (Espen)
85,21.07.1991,2/4-17 TJALVE
90,19.01.2012,2/4-21 (King Lear)
92,10.09.2014,2/4-22 S (Romeo)
93,13.03.2015,2/4-23 S (Julius)
94,01.08.1970,2/5-1 TOR
96,02.04.1972,2/5-3 (Sørøst Tor)
97,03.09.1972,2/5-4 (Siv)
100,11.08.1983,2/5-7
105,06.09.1997,2/5-11 (Tjatse)
113,17.11.1996,2/6-5
114,03.08.1970,2/7-1 ELDFISK
115,13.12.1970,2/7-2
117,23.06.1972,2/7-4 EDDA
121,08.06.1973,2/7-8
122,25.12.1973,2/7-20 EMBLA
133,02.09.1980,2/7-19 (Ebba)
134,15.01.1990,2/7-19 (Ebba)
135,15.10.1987,2/7-20 EMBLA
136,14.10.1991,2/7-20 EMBLA
139,17.05.1990,2/7-22
146,18.09.1993,2/7-29
148,13.01.1999,2/7-31
154,07.04.1975,2/8-6 VALHALL
176,06.11.1974,2/11-2 HOD
177,10.10.1977,2/11-10 S
186,28.02.1994,2/11-10 S
188,14.10.1986,2/12-1 MJØLNER
198,20.09.1989,3/7-4 TRYM
202,09.12.2012,3/7-8 S (Trym Sør)
207,02.11.1984,6/3-1 PI
216,20.01.1992,7/7-2 BRYNHILD
221,12.09.1983,7/8-3 (Krabbe)
226,26.02.1968,7/11-1 COD
229,02.07.1969,7/11-5 MIME
230,09.02.1982,7/11-5 MIME
232,29.12.1982,7/11-7
233,29.09.1984,7/11-1 COD
239,08.08.2011,7/11-12 A
243,04.07.1976,7/12-2 ULA
244,22.03.1984,7/12-2 ULA
249,06.02.1981,7/12-5 (Ula North)
255,08.07.1991,7/12-5 (Ula North)
270,15.08.2011,8/10-4 S ODA
277,21.02.1987,9/2-1 YME
279,04.12.1989,9/2-3
282,19.08.1996,9/2-6 S
283,22.04.1997,9/2-7 S
285,29.06.1999,9/2-9 S
306,27.11.1974,15/3-1 S GUDRUN
310,03.10.1981,15/3-4 (Sigrun)
315,19.05.2010,15/3-9
316,26.11.1977,15/5-1 GINA KROG
317,16.08.1978,15/5-2 EIRIN
321,31.08.1995,15/5-5 GLITNE
328,05.09.1974,15/6-3 SLEIPNER VEST
338,07.02.2009,15/6-10 (Freke)
341,22.12.2010,15/6-12 (McHenry)
342,13.04.2015,15/6-13
345,18.07.1981,15/8-1 UTGARD
355,04.05.1981,15/9-9 SLEIPNER ØST
362,28.05.1982,15/9-15 GUNGNE
364,09.12.1982,15/9-17 LOKE
365,28.04.1991,15/9-17 LOKE
369,18.11.1992,15/9-19 S VOLVE
370,17.02.1993,15/9-19 S VOLVE
371,18.07.1997,15/9-19 S VOLVE
372,16.02.1994,15/9-20 S
380,13.09.1984,15/12-4 VARG
384,05.06.1991,15/12-8
389,25.12.2000,15/12-12 REV
398,08.11.2007,15/12-18 A
399,05.09.2007,15/12-18 S (Storskrymten)
400,18.02.2008,15/12-19
401,28.05.2008,15/12-20 S
